symbol,date,open_price,high_price,low_price,close_price,volume
IWM,2025-12-23,252.42,253.22,251.46,252.08,24973500
IWM,2025-12-24,251.97,252.86,251.12,252.71,12103000
IWM,2025-12-26,252.58,252.75,250.4,251.42,17429945
IWM,2025-12-29,250.26,251.5,249.35,249.88,25218800
IWM,2025-12-30,249.97,250.15,247.95,248.03,22123639
IWM,2025-12-31,248.18,248.28,246.01,246.16,35352000
IWM,2026-01-02,247.63,249.09,245.86,248.78,40007700
IWM,2026-01-05,249.79,253.55,249.57,252.73,37428100
IWM,2026-01-06,252.24,256.25,251.52,256.08,40677800
IWM,2026-01-07,256.4,256.8,253.97,255.48,33052026
IWM,2026-01-08,254.7,258.93,254.36,258.27,37957029
IWM,2026-01-09,259.58,261.56,258.09,260.23,36301546
IWM,2026-01-12,259.28,261.66,258.24,261.5,28423400
IWM,2026-01-13,262.4,262.89,260.46,261.35,33882400
IWM,2026-01-14,261.13,263.46,260.19,263.19,37164300
IWM,2026-01-15,264.06,267.05,263.73,265.51,33465208
IWM,2026-01-16,265.87,267.21,264.71,265.76,33844900
IWM,2026-01-20,261.14,265.08,261.06,262.58,47911500
IWM,2026-01-21,264.64,268.59,262.92,267.79,59952800
IWM,2026-01-22,269.83,271.6,269.42,269.79,35110800
IWM,2026-01-23,269.04,269.05,264.46,264.81,42636691
QQQ,2025-01-28,515.22,523.0,511.78,521.81,33194214
QQQ,2025-01-29,522.46,522.59,516.9,520.83,26649011
QQQ,2025-01-30,523.71,526.1,518.21,523.05,27431302
QQQ,2025-01-31,526.92,531.52,521.19,522.29,38845467
QQQ,2025-02-03,513.47,520.85,511.05,518.11,40580835
QQQ,2025-02-04,518.63,525.11,518.23,524.47,26046800
QQQ,2025-02-05,521.82,527.01,520.62,526.85,21134100
QQQ,2025-02-06,527.36,529.81,525.74,529.6,19434500
QQQ,2025-02-07,530.14,532.1,522.19,522.92,29605500
QQQ,2025-02-10,527.22,530.36,526.75,529.25,20852800
QQQ,2025-02-11,525.96,529.92,525.83,527.99,19325500
QQQ,2025-02-12,522.3,529.19,521.95,528.3,25009400
QQQ,2025-02-13,529.98,536.22,529.19,535.9,28714800
QQQ,2025-02-14,536.01,538.84,535.67,538.15,17862600
QQQ,2025-02-18,539.73,540.0,536.04,539.37,20565028
QQQ,2025-02-19,538.57,540.81,536.46,539.52,19666900
QQQ,2025-02-20,538.73,539.1,532.46,537.23,26550800
QQQ,2025-02-21,538.38,538.4,525.71,526.08,47093800
QQQ,2025-02-24,527.88,529.07,519.53,519.87,39268400
QQQ,2025-02-25,519.24,519.32,509.44,513.32,48940025
QQQ,2025-02-26,515.53,519.66,511.37,514.56,34457618
QQQ,2025-02-27,518.13,519.07,500.05,500.27,52448000
QQQ,2025-02-28,500.13,508.78,496.93,508.17,47654043
QQQ,2025-03-03,511.52,513.04,493.58,497.05,44587204
QQQ,2025-03-04,494.18,503.74,487.74,495.55,67875402
QQQ,2025-03-05,496.2,503.63,491.26,502.01,46323725
QQQ,2025-03-06,493.69,498.58,486.2,488.2,57574332
QQQ,2025-03-07,487.16,493.28,480.53,491.79,54714726
QQQ,2025-03-10,483.45,483.97,468.66,472.73,76668029
QQQ,2025-03-11,472.35,478.81,467.01,471.6,68760800
QQQ,2025-03-12,479.16,481.06,471.79,476.92,46971100
QQQ,2025-03-13,476.25,476.28,466.43,468.34,46563349
QQQ,2025-03-14,473.73,480.56,473.12,479.66,43563010
QQQ,2025-03-17,479.61,485.84,477.8,482.77,41744400
QQQ,2025-03-18,479.41,479.61,472.41,474.54,39072300
QQQ,2025-03-19,476.81,485.33,474.87,480.89,40430334
QQQ,2025-03-20,476.88,484.55,476.18,479.26,36780549
QQQ,2025-03-21,474.08,481.61,472.91,480.84,42234900
QQQ,2025-03-24,487.74,491.51,484.4,490.66,34567200
QQQ,2025-03-25,491.39,493.62,490.42,493.46,26035241
QQQ,2025-03-26,492.3,493.16,482.82,484.38,35043357
QQQ,2025-03-27,482.41,486.58,480.25,481.62,33469817
QQQ,2025-03-28,479.81,480.52,468.05,468.94,46363800
QQQ,2025-03-31,461.92,469.86,457.33,468.92,53000303
QQQ,2025-04-01,467.3,473.63,464.42,472.7,41156226
QQQ,2025-04-02,466.12,479.56,465.86,476.15,49894500
QQQ,2025-04-03,456.44,460.07,450.14,450.66,70456338
QQQ,2025-04-04,438.14,440.37,422.67,422.67,117088441
QQQ,2025-04-07,408.66,443.14,402.39,423.69,161557000
QQQ,2025-04-08,438.16,443.14,409.79,416.06,101248100
QQQ,2025-04-09,415.57,467.83,415.43,466.0,142876900
QQQ,2025-04-10,453.56,455.59,432.63,446.18,108384100
QQQ,2025-04-11,444.65,455.79,441.33,454.4,52483800
QQQ,2025-04-14,464.46,465.05,452.63,457.48,43941200
QQQ,2025-04-15,458.54,462.38,456.15,457.99,35404210
QQQ,2025-04-16,449.03,452.62,437.76,444.18,48980600
QQQ,2025-04-17,447.17,447.75,441.36,444.1,44837047
QQQ,2025-04-21,438.23,439.08,427.93,433.11,44149313
QQQ,2025-04-22,438.82,447.58,437.62,444.48,52304400
QQQ,2025-04-23,458.17,463.38,452.88,454.56,55801136
QQQ,2025-04-24,456.48,467.66,455.83,467.35,45956136
QQQ,2025-04-25,466.97,473.09,465.39,472.56,38697100
QQQ,2025-04-28,473.03,474.81,466.03,472.41,33550800
QQQ,2025-04-29,470.17,476.42,469.59,475.53,30613120
QQQ,2025-04-30,467.13,477.2,462.43,475.47,46810610
QQQ,2025-05-01,483.41,487.18,480.74,481.68,43316539
QQQ,2025-05-02,486.54,490.91,484.83,488.83,39218100
QQQ,2025-05-05,484.6,489.03,484.1,485.93,28309500
QQQ,2025-05-06,479.56,485.05,478.19,481.41,32786310
QQQ,2025-05-07,482.08,485.8,476.78,483.3,38109864
QQQ,2025-05-08,488.53,492.7,484.17,488.29,39577600
QQQ,2025-05-09,490.21,491.54,486.2,487.97,27767416
QQQ,2025-05-12,506.99,507.89,501.48,507.85,45090616
QQQ,2025-05-13,509.16,517.39,508.42,515.59,53269600
QQQ,2025-05-14,516.77,519.23,515.75,518.68,47014516
QQQ,2025-05-15,516.52,521.93,515.17,519.25,50153300
QQQ,2025-05-16,520.66,521.7,517.1,521.51,48394603
QQQ,2025-05-19,514.24,522.53,514.24,522.01,52536200
QQQ,2025-05-20,519.47,520.93,516.66,520.27,42517600
QQQ,2025-05-21,516.27,523.0,511.24,513.04,71292831
QQQ,2025-05-22,513.66,517.71,512.3,514.0,55607200
QQQ,2025-05-23,506.18,511.84,505.58,509.24,58368100
QQQ,2025-05-27,516.15,521.71,514.59,521.22,47226323
QQQ,2025-05-28,522.18,523.68,518.39,518.91,46637200
QQQ,2025-05-29,526.33,526.48,517.32,519.93,58724069
QQQ,2025-05-30,519.44,520.68,511.93,519.11,67662836
QQQ,2025-06-02,517.24,523.45,515.97,523.21,44762817
QQQ,2025-06-03,523.56,528.74,522.69,527.3,44070330
QQQ,2025-06-04,528.01,529.84,525.97,528.77,41359322
QQQ,2025-06-05,530.18,533.05,522.66,524.79,61286623
QQQ,2025-06-06,530.0,531.8,528.21,529.92,42467021
QQQ,2025-06-09,530.14,532.35,529.01,530.7,33688700
QQQ,2025-06-10,531.17,534.9,528.89,534.21,40664800
QQQ,2025-06-11,535.62,536.78,530.11,532.41,53701033
QQQ,2025-06-12,531.09,534.64,530.84,533.66,34104900
QQQ,2025-06-13,527.68,531.87,525.73,526.96,55814443
QQQ,2025-06-16,530.5,535.37,530.45,534.29,37622100
QQQ,2025-06-17,531.71,533.33,527.91,529.08,42180900
QQQ,2025-06-18,530.1,532.55,527.4,528.99,43983522
QQQ,2025-06-20,532.26,533.56,524.88,526.83,61643519
QQQ,2025-06-23,526.81,532.17,523.65,531.65,50666146
QQQ,2025-06-24,536.89,540.7,536.27,539.78,45442000
QQQ,2025-06-25,542.06,543.31,539.38,541.16,44804200
QQQ,2025-06-26,543.35,546.67,541.52,546.22,43811432
QQQ,2025-06-27,547.26,549.99,544.54,548.09,57577147
QQQ,2025-06-30,551.26,552.8,549.01,551.64,45548742
QQQ,2025-07-01,549.73,550.71,544.66,546.99,56166736
QQQ,2025-07-02,546.16,551.0,546.12,550.8,36538300
QQQ,2025-07-03,553.18,557.2,553.18,556.22,26443524
QQQ,2025-07-07,553.52,554.34,549.58,552.03,45349323
QQQ,2025-07-08,553.38,554.01,551.1,552.34,36153300
QQQ,2025-07-09,554.48,557.63,553.1,556.25,43045534
QQQ,2025-07-10,556.89,557.3,552.75,555.45,34710913
QQQ,2025-07-11,553.3,555.79,552.05,554.2,39618635
QQQ,2025-07-14,553.99,556.95,551.63,556.21,36453314
QQQ,2025-07-15,560.25,560.8,556.66,556.72,43277700
QQQ,2025-07-16,557.28,560.21,551.56,557.29,52314711
QQQ,2025-07-17,558.02,562.31,557.21,561.8,40423800
QQQ,2025-07-18,563.12,564.73,559.98,561.26,50484704
QQQ,2025-07-21,562.09,566.06,562.06,564.17,39595214
QQQ,2025-07-22,564.3,564.35,558.61,561.25,43270647
QQQ,2025-07-23,562.34,563.85,559.58,563.81,40215300
QQQ,2025-07-24,565.13,566.24,563.29,565.01,42275541
QQQ,2025-07-25,564.93,567.7,564.27,566.37,30630813
QQQ,2025-07-28,567.74,569.04,566.87,568.14,31498739
QQQ,2025-07-29,570.76,572.11,566.53,567.26,45463317
QQQ,2025-07-30,568.18,570.62,565.05,568.02,43433800
QQQ,2025-07-31,574.54,574.63,563.87,565.01,64613600
QQQ,2025-08-01,558.83,559.02,551.68,553.88,69400800
QQQ,2025-08-04,559.05,564.32,558.95,564.1,47669800
QQQ,2025-08-05,565.39,566.56,559.73,560.27,48666640
QQQ,2025-08-06,561.11,567.76,560.63,567.32,41823700
QQQ,2025-08-07,571.67,573.32,565.11,569.24,44463000
QQQ,2025-08-08,570.45,574.77,570.15,574.55,35255500
QQQ,2025-08-11,574.69,576.8,571.57,572.85,33112917
QQQ,2025-08-12,575.16,580.35,572.49,580.05,42271441
